time,duty,sallary,location,name
"2年经验,本科,招3人,03-26发布","
 
 
 
 
","五险一金,弹性工作,发展前景好,节假日福利,团队氛围好,员工旅游,专业培训,产品好","
 文一西路1500号科创中心6幢5单元1301室",Python

"无工作经验,大专,招若干人,03-26发布","
 
 
 
 
",,"
 绍兴路和平大厦703-1",Python开发工程师

"2年经验,招若干人,03-26发布","
 
 
 
 
","五险一金,员工旅游,年终奖金,绩效奖金,专业培训,定期体检,弹性工作,餐饮补贴","
 杭州",Python开发工程师

"3-4年经验,本科,招1人,03-26发布","
 
 
 
 
","五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检","
 经济开发区兴中路339号",Python高级开发工程师

"2年经验,本科,招3人,03-26发布,软件工程 计算机科学与技术","
 
 
 
 
","员工旅游,交通补贴,通讯补贴,餐饮补贴,年终奖金,定期体检,一切皆有可能,六险一金,绩效奖金","
 杭州滨江高新区六和路368号海创基地南楼5楼",python开发工程师(职位编号：11)

"3-4年经验,本科,招1人,03-26发布","
 
 
 
 
",,"
 天目山路学院路口网新大厦3313室",python开发工程师

"3-4年经验,本科,招1人,03-26发布,计算机科学","
 
 
 
 
",,"
 滨江区丹枫路676号香溢大厦",python开发

"1年经验,本科,招1人,03-26发布","
岗位职责： 1.与后端工程师配合使用Django进行网站开发； 2.公司网站的日常维护升级； 3.根据业务需求进行网站设计。 岗位要求： 1.本科及以上学历，计算机等相关专业； 2.一年以上相关工作经验； 3.熟悉python，熟悉linux/shell命令行； 4.熟练使用Django框架进行快速开发，HTML/CSS/Javascript基础扎实。
 
 
 
","五险一金,员工旅游,餐饮补贴,年终奖金,专业培训,周末双休","
 西湖科技园",Python开发工程师

"5-7年经验,大专,招若干人,03-21发布","
岗位职责： 1、从事识别系统后端开发； 2、根据产品需求完成系统功能开发。 任职要求： 1、5年以上的工作经验，熟悉Java、Python语言； 2、熟悉Django或Tornado框架（Python）； 3、熟悉Netty框架（Java）。
 
 
 
",,"
 杭州市天目山路238号华鸿大厦A座702室",Python开发工程师

"5-7年经验,招2人,03-21发布","
 
 
 
 
","五险一金,绩效奖金,股票期权,弹性工作,员工旅游,年终奖金","
 文三路90号东部软件园科技大厦6号楼6楼",区块链技术开发工程师（go-c++-Python ）

"无工作经验,招2人,03-21发布","
 
 
 
 
",,"
 西园一路18号浙大网新软件园J1",Python developer

"3-4年经验,招1人,03-21发布","
1、参与爬虫系统的开发； 2、负责网页等信息抽取开发和优化工作； 3、参与爬虫核心算法的策略优化研究，提升网页抓取的效率和质量； 4、配合技术部门与公司其他有关工作。 任职要求： 1、二年以上python开发经验; 2、有网络爬虫、网页去重、网页信息去重等相关经验者优先； 3、工作认真细致踏实、学习能力强、已解决结束难题为乐趣，有想法、敢去挑战。
 
 
 
",,"
 杭州市萧山区民和路800号宝盛世纪中心37楼",Python开发工程师

"无工作经验,本科,招若干人,03-21发布,软件工程 计算机科学与技术","
 
 
 
 
",,"
 古墩路701号（紫金广场）B座710",Python开发工程师（Odoo）

"无工作经验,招1人,03-22发布","
 
 
 
 
","包住宿,带薪年假,绩效奖金,节日福利,加班补贴,五险,单双休,年度体检,年底双薪","
 杭州市江干区九盛路9号东方电子商务园",Python(POS开发)

"2年经验,本科,招若干人,03-21发布,计算机科学与技术 软件工程","
 
 
 
 
","五险一金,员工旅游,住房补贴,餐饮补贴,弹性工作,年终奖金,股票期权,免费班车,出国机会,交通补贴","
 环球金融中心津塔28F",Python开发工程师

"无工作经验,招3人,03-22发布","
 
 
 
 
","五险一金,绩效奖金,年终奖金,股票期权,弹性工作","
 新加波科技园16幢311室",Python软件工程师（可接受实习生）

"无工作经验,招若干人,03-22发布","
岗位职责： 1、把握容器云平台主流开源软件选型及生产应用，主导平台级生产二次定制开发； 2、指导项目组人员按照要求完成文档编写，软件开发及测试、实施等工作及成果汇报； 3、负责与用户及第三方沟通交流，并汇报相关信息； 4、参与系统架构和核心组件的设计； 5、负责云计算平台和核心组建开发； 6、负责系统内部API接口的开发； 任职资格： 1、具有互联网或企业产品开发经验，至少一年golang或python的开发经验，要求熟练编程； 2、熟练使用Linux开发环境，熟悉基于Git的团队合作开发模式，熟悉zookeeper、ELK、influxdb、redis，Mesos、Kubernetes等开源组件； 3、了解TCP、HTTP(S)相关协议，熟悉Web开发； 4、985/211研究生毕业优先，有GitHub等博客作品优先；
 
 
 
","五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金","
 杭州西湖区三墩 西园七路8号西湖科技园",Python开发工程师

"1年经验,本科,招10人,03-23发布,计算机科学与技术 软件工程","
岗位职责： 完成日常软件开发任务。 录用条件： 1、计算机或IT相关专业，大学本科及以上学历； 2、掌握Python语言及开发方法； 3、掌握HTML/CSS/JS等web开发； 4、学习能力强，较好的沟通和协作能力、执行力，具备良好的服务意识。
 
 
 
","五险一金,定期体检,员工旅游,年终奖金,补充公积金","
 西湖区教工路6号求是大厦18楼",Python开发

"2年经验,本科,招1人,03-23发布","
 
 
 
 
","五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,周末双休,带薪年假,节日福利","
 温岭市太平街道横湖中路159号总商会1904",python后端工程师

"1年经验,大专,招1人,03-23发布","
岗位职责： 1.搜索引擎elastic search的开发； 2.负责网络爬虫的开发； 3.网络爬虫架构设计、功能开发及优化和更新； 4.爬虫和搜索引擎的日常维护，如服务器环境搭建，项目部署等。 任职要求： 1.了解Elastic Search 或Apache Lucene搜索引擎； 2.了解主流的python爬虫框架，如 pyspider，scrapy等； 3.了解python的web框架，如Tornado、Flask 、Django等和bootstrap， 能否写简单的javaScript； 4.能够使用正则表达式，css selector 和xpath 进行网页数据提取； 5.了解数据库的操作； 6.了解linux服务器的架设；  7.有一定的英语阅读功底，能够阅读英文文档。 我们将为您提供： 1、竞争力的薪资，缴纳五险一金； 2、奖励机制：高额年终奖 3、节日福利，运动会、各类兴趣社团、旅游统统都有！ 4、带薪年假、餐费补贴、话费补贴、交通补贴、员工单间宿舍应有尽有！ 5、年度体检，健健康康上班。 6、技能培训、管理培训、员工分享，跟随时代潮流。 7、一天7小时工作，不加班，爽翻天。
 
 
 
","员工旅游,交通补贴,通讯补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,弹性工作","
 杭州市滨江区江南大道3688号潮人汇大厦10楼",Python开发工程师

"无工作经验,本科,招2人,03-23发布","
【岗位职责】      负责机器人控制软件开发 【岗位职责】     负责机器人控制软件开发,主要实现语言为Python. 【岗位要求】 1、2年以上Python编程基础 2、熟悉ROS编程，熟悉C++，Java编程更好; 3、熟悉Linux; 熟悉Web编程或Android编程更好; 4、如果有2年以上有控制软件编程基础更好。 5、有良好的数据结构和算法基础; 6、5年年以上软件开发经验，善于沟通与团队协作。
 
 
 
",,"
 经济技术开发区建设二路957号（原98号）",Python开发工程师

"无工作经验,本科,招2人,03-23发布","
征服未知，勇做先驱！ 善贾——拥有国内顶尖核心技术，用大数据解决行业难题。 你将负责的工作：  为公司主产品线提供后端 API 接口支持 参与后端架构和产品的研发，开发高性能、高可靠性的服务 负责服务端 /运营管理工具功能模块开发 你已掌握的技能：  掌握至少一门如下语言    C/C++/Python/nodeJS/golang/php/lua,懂C/C++加分  熟悉常用数据结构和算法 熟悉Docker的日常使用 熟悉 Linux 系统常用命令，能够在 Linux 环境调试或排查错误 对 http 协议有一定理解，能够从网络层排查问题 能够编写自动化测试代码 良好的英文阅读能力 你需要做到的坚持： 每周4天及以上实习时间，持续6个月以上 工作时间在岗（9:00- 20：00） 你会获得的财富： 全方向发展，全栈工程师带你走进全新的数据世界！ 你所关心的福利： 实习津贴：150-300元/天、餐补 吃货必备：咖啡、牛奶、下午茶、水果、各种小零食不间断； 团建活动：一年365天不管国内国外，节日过不停，节日礼包，团队活动不断！ 工作环境：各种小绿植，环境简单而又温馨，享受随意的着装风格！
 
 
 
","五险一金,员工旅游,绩效奖金,餐饮补贴,弹性工作,定期体检,节日福利,临时住房,无限量零食,下午茶","
 上城区 沙地路 望江家园西园1-2 1-3网尚空间2楼",Python开发工程师

"2年经验,本科,招1人,03-23发布","
 
 
 
 
","五险一金,弹性工作,定期体检,员工旅游,出国机会,股票期权,专业培训","
 滨江区星光时代UDC 13楼",python 高级开发工程师

"无工作经验,本科,招1人,03-23发布","
 
 
 
 
","五险一金,弹性工作,专业培训,绩效奖金,年终奖金,员工旅游,免费班车,团建活动,节日福利,带薪年假","
 新加坡杭州科技园5幢（LEO楼）11层",Python工程师

"2年经验,本科,招2人,03-24发布","
岗位职责： 1.负责UFW产品相关的研发和维护等； 2.配合产品部门完成UFW产品运维和监控的支持及维护等； 3.负责部门其他产品的研发工作 任职要求： 1.本科及以上学历，计算机相关专业 2.两年以上软件开发经验 3.熟练掌握Python、Java、C语言中的一种或多种进行软件开发（优先Python语言） 4.有金融行业产品研发经历等优先 5.善于思考，有较强的分析与解决问题的能力 6.踏实，上进，有较强的沟通协作能力
 
 
 
","五险一金,周末双休,十三薪","
 滨江区江南大道3588号恒生大厦",Python开发工程师

"2年经验,本科,招5人,03-25发布","
 
 
 
 
","五险一金,弹性工作,定期体检,绩效奖金,免费班车","
 同顺街18号 同花顺大楼",python后端开发

"无工作经验,招1人,03-25发布","
 
 
 
 
","五险一金,餐饮补贴,通讯补贴,绩效奖金,弹性工作,定期体检,补充医疗保险","
 阡陌路聚光中心",Python开发工程师

"无工作经验,招5人,03-25发布","
 
 
 
 
",,"
 浙江省丽水市莲都区城北街368号绿谷信息产业园南区绿谷3号楼5层",python（django）开发工程师

"无工作经验,本科,招1人,03-25发布","
 
 
 
 
","五险一金,员工旅游,餐饮补贴,专业培训,定期体检","
 杭州市滨江区滨安路1190号智汇中心A座1004室",Python开发（CRM）

"3-4年经验,大专,招2人,03-25发布","
 
 
 
 
","周末双休,带薪年假,五险一金,绩效奖金,全勤奖,节日福利","
 浙江大学紫金港校区内",python讲师

"3-4年经验,招1人,03-26发布","
开发自动化工具和框架平台，项目展示平台，学习深度学习知识，来构建公司健康度评测平台，通过爬虫和数据分析构建体系平台的知识库模块。
 
 
 
","五险一金,交通补贴,年终奖金,餐饮补贴,通讯补贴,弹性工作,定期体检,绩效奖金","
 杭州滨江区江陵路1760号",Python开发工程师

"2年经验,招1人,03-26发布","
Responsibility 1.研发自动化运维平台，提高运维效率，规范相关操作流程; 2.负责相关运维工具或脚本开发; 3.对Linux系统下相关应用进行监控工具的开发; 4.积累并规范化系统运维开发的***实践并文档化。 Requirements 1.本科及以上学历，计算机相关专业优先; 2.诚实、正直，有责任心; 3.熟悉Linux系统，有1年以上系统运维开发工作经验优先; 4.精通Python，熟悉Bash，熟悉Python相关框架; 5.精通Shell/PHP/Perl等至少一种脚本语言; 6.有Web前端开发经验者优先考虑。
 
 
 
",,"
 杭州市",运维开发工程师（Python）(职位编号：J150935)

"2年经验,大专,招4人,03-26发布","
 
 
 
 
","五险一金,餐饮补贴","
 凤起东路126号",python开发工程师（PaaS云平台）

"2年经验,招若干人,03-26发布","
 
 
 
 
","五险一金,餐饮补贴,年终奖金,股票期权,交通补贴,周末双休,员工旅游","
 杭州市西湖区塘苗路18号华星现代产业园B座4F",Python开发工程师

"无工作经验,本科,招若干人,03-26发布","
1、负责CG制作流程的规划和开发； 2、协助制作部门解决各模块以及模块上下部门交接时遇到的技术难题并升级制作流程； 3、开发新工具，研究新技术，提高各部门间工作效率； 4、积极了解业界发展、相关新技术及趋势，促进技术进步和创新，做一些新技术研究性工作。 任职要求： 1 、精通Python语言 2、希望能在影视行业发展 3、熟悉Maya Mel语言的优先考虑。 4、动画专业或计算机理工类专业优先，有良好的英语阅读能力优先。
 
 
 
","五险一金,专业培训,绩效奖金","
 凤凰山脚路7号1138园区c幢",CG流程工程师/Python程序员

"3-4年经验,本科,招2人,03-26发布","
 
 
 
 
","五险一金,餐饮补贴,通讯补贴,交通补贴,员工旅游,年终奖金,朝九晚五,周末双休","
 上城区中河中路198号绿都商务大厦",Linux python开发运维

"1年经验,本科,招1人,03-26发布","
职位描述： 1. 负责产品web相关内容的开发，负责游戏测试工具开发。 2. 挖掘能提升游戏质量的工具需求，并能独立完成工具架构和模块设计、编码、测试、文档编写、使用推广等工作。 职位要求： 1. 本科或以上计算机相关学历，英语CET4以上，一年以上工作经验； 2. 熟悉 Python 编程； 3. 足够的基于 web 的开发经验，熟悉主流的 web 前后端框架，例如 angularjs 、 django ； 4. 熟悉 mysql 数据库； 5. 具备良好学习、沟通能力及团队协作精神，对工作积极严谨，有责任感
 
 
 
","五险一金,免费班车,定期体检,包一日三餐","
 杭州滨江区网商路599号网易大厦",1023Python web开发

"2年经验,本科,招3人,03-26发布,计算机科学与技术 软件工程","
 
 
 
 
",,"
 杭州西湖区",Python开发工程师

"无工作经验,招1人,03-26发布","
岗位职责： 1、负责对数据进行深入分析和挖掘、构建分析模型为产品优化提供数据支持； 2、对接相关业务团队进行数据梳理、清洗并协助分析完成业务数据化管理的目标； 3、负责运营数据分析，日/周/月运营数据收集整理、分享，监控相关核心数据，并根据数据变化与各相关方进行沟通，提供运营建议； 4、独立完成后台相关数据分析报告及个性化需求数据分析，完善数据报表体系，及时准确监控运营状况，并提供专业分析报告； 5、积极完成其它临时工作及领导分配的其它任务。 任职要求： 1、本科及以上学历，计算机、数学、统计等相关专业，2年以上相关工作经验； 2、扎实的编程基础、机器学习理论基础及丰富的实践经验； 3、熟悉大规模分布式计算平台； 4、熟悉 NoSQL 非结构化和非关系型数据库（mongdb、hive、hbase）； 5、熟悉至少一种主流关系型数据库（如：oracle、mysql、db2、sqlserver）； 6、有丰富的数据分析、数据清洗、数据挖掘和建模的经验，能从海量数据提炼核心结果； 7、熟悉数据采集、统计分析、数据仓库、数据挖掘、数据可视化、推荐系统等相关领域知识； 8、熟悉决策树、聚类、逻辑回归、关联分析、SVM、贝叶斯等数据挖掘法，有海量数据库挖掘项目经验优先； 9、有金融、互联网、电子商务行业数据分析经验者优先。 我们是一个年轻的团队，同事都非常nice，领导很open，团队氛围也很融洽，欢迎加入西线大家庭。
 
 
 
","五险一金,周末双休,专业培训,绩效奖金","
 下城区中山北路632号越都商务大厦903",Python大数据分析师

"无工作经验,招2人,03-26发布","
岗位职责： 1. 熟练掌握R/Python/SPSS/SQL等语言知识，了解数据分析需求； 2.数据整理及分析； 3. 带领团队实施分析方案，并对成果进行检验和评价； 4. 拓展新的行业应用和分析方法。 任职资格： 1. 对数据敏感，有一定的数学或统计基础； 2. 能够快速学习并掌握新行业的业务和方法； 3. 思维活跃，逻辑性强，接受挑战; 4.专科及以上学历，数学统计学等相关专业优先； 5.对R/Python/SPSS语言较为熟悉，能熟练进行操作及讲解。
 
 
 ","五险一金,专业培训,绩效奖金,带薪年假,节日福利","
 下城区中山北路632号越都商务大厦903",(急)高级数据分析师/R/Python/SQL

"无工作经验,招若干人,03-26发布","
岗位职责： 1、熟悉项目结构，理清项目业务关系； 2、配合团队其他成员进行模块开发及整合(主要配合客户端新功能需求，开发相应的接口)； 3、维护所负责的服务模块，并不断持续优化功能系统； 4、确保所负责的服务模块能够达到产品要求的质量标准（响应、错误率、不间断服务指标）。 任职要求： 1、熟悉Python,能够熟练运用Django开发，熟悉gevent、 twisted、 tornado框架优先； 2、熟悉数据库操作，熟悉MySQL数据查询及操作； 3、熟悉JavaScript/AJAX/CSS,有jQuery经验优先； 4、熟悉Linux,Nginx,MySQL 等的安装、配置、调试； 5、有良好的编程习惯，注重代码效率，能够编写规范，优质与高效的代码。
 
 
 
","五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金","
 杭州市西湖区文三路553号浙江中小企业大厦22楼",Python开发工程师

"2年经验,中专,招1人,03-26发布","
 
 
 
 
","五险一金,补充医疗保险,员工旅游,餐饮补贴,年终奖金,股票期权,绩效奖金,弹性工作","
 文一西路1001号衢时代A座2层",Python开发工程师

